EXPEDIENTE,FECHA DE INGRESO,FECHA DE CIERRE,TIPO DE CONCILIACIÓN,ESTADO PROCESAL,PROVEEDOR,NOMBRE COMERCIAL,GIRO,SECTOR,ODECO,ESTADO,TIPO DE RECLAMACIÓN,MOTIVO DE RECLAMACIÓN,COSTO BIEN O SERVICIO,MONTO RECLAMADO,MONTO RECUPERADO,PROCEDIMIENTO,BIEN O SERVICIO,MEDIO DE INGRESO,TIPO PRODUCTO,MODALIDAD DE COMPRA,MODALIDAD PAGO,PROBLEMA ESPECIAL
PFC.H.A.2/000150-2022,01/07/22,02/08/22,Turnada a Concil Medios Elec.,Desistimiento,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,"Cambios, devoluciones o bonificaciones",Negativa a cambio o devolución,284.99,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,Telefonia Movil
PFC.H.A.2/000151-2022,01/07/22,01/26/22,Turnada a Concil Medios Elec.,Conciliada,"CABLEVISION RED, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Penalización por causa imputable al proveedor,670.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000152-2022,01/07/22,04/01/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Negativa a bonificación,420.00,0.00,1360,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000153-2022,01/07/22,02/04/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,399.00,0.00,399,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/000154-2022,01/07/22,03/02/22,Turnada a Concil Medios Elec.,Conciliada,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Television por cable,TELECOMUNICACIONES,DGPCT,Ciudad de México,Contratos,Negativa a la recisión,4240.00,0.00,861.02,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000155-2022,01/07/22,01/17/22,Turnada a Concil Medios Elec.,No Conciliada,"FTTH DE MÉXICO, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,755.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.H.A.2/000156-2022,01/07/22,02/08/22,Turnada a Concil Medios Elec.,Desistimiento,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1500.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000157-2022,01/07/22,01/19/22,Turnada a Concil Medios Elec.,Conciliada,"CABLEVISION, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,390.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000158-2022,01/07/22,01/25/22,Turnada a Concil Medios Elec.,Conciliada,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,420.00,00,420,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000159-2022,01/07/22,01/25/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,6664.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000160-2022,01/07/22,01/25/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,390.00,00,729,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000161-2022,01/07/22,02/03/22,Turnada a Concil Medios Elec.,Conciliada,"TV CABLE DE ORIENTE, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,200.00,00,321,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000162-2022,01/07/22,01/31/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,"Cambios, devoluciones o bonificaciones",Negativa a cambio o devolución,50.00,0.00,15,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,Telefonia Movil
PFC.H.A.2/000163-2022,01/07/22,01/14/22,Turnada a Concil Medios Elec.,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,1962.67,1962.67,1373.67,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/000164-2022,01/07/22,02/22/22,Turnada a Concil Medios Elec.,Desistimiento,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Television por cable,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,699.00,100.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/000165-2022,01/07/22,01/14/22,Turnada a Concil Medios Elec.,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1299.00,0.00,1299,Conciliación medios electrónic,Bien,Internet,Producto nuevo,Por internet,Contado,No problema especial
PFC.H.A.2/000166-2022,01/10/22,01/17/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,529.00,0,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Television
PFC.H.A.2/000167-2022,01/10/22,01/18/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Penalización por causa imputable al proveedor,499.00,0,1100,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/000168-2022,01/10/22,01/20/22,Turnada a Concil Medios Elec.,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1299.00,0.00,0,Conciliación medios electrónic,Bien,Internet,Producto nuevo,Por internet,Contado,No problema especial
PFC.H.A.2/000169-2022,01/10/22,01/24/22,Turnada a Concil Medios Elec.,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1299.00,0.00,0,Conciliación medios electrónic,Bien,Internet,Producto nuevo,Por internet,Contado,No problema especial
PFC.H.A.2/000170-2022,01/10/22,01/19/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,575.00,575.0,262,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/000171-2022,01/10/22,01/18/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,424.00,424.00,424,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000172-2022,01/10/22,02/02/22,Turnada a Concil Medios Elec.,Desistimiento,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,717.00,717.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000173-2022,01/10/22,02/08/22,Turnada a Concil Medios Elec.,Desistimiento,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,846.00,846.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000174-2022,01/10/22,01/20/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,385.00,0.00,420,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000175-2022,01/10/22,02/08/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,150.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000176-2022,01/10/22,01/13/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,372.40,0.00,638,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.H.A.2/000177-2022,01/10/22,01/14/22,Turnada a Concil Medios Elec.,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1299.00,1299.00,1299,Conciliación medios electrónic,Bien,Internet,Producto nuevo,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000178-2022,01/10/22,01/14/22,Turnada a Concil Medios Elec.,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1299.00,1299.00,1299,Conciliación medios electrónic,Bien,Internet,Producto nuevo,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/000179-2022,01/10/22,01/25/22,Turnada a Concil Medios Elec.,Conciliada,"CABLEVISION RED, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1171.50,1171.50,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/000180-2022,01/10/22,02/09/22,Turnada a Concil Medios Elec.,Desistimiento,"VIRGIN MOBILE MEXICO, S DE RL DE CV",VIRGIN MOBILE,Empresa de telefonía celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,149.00,50.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.H.A.2/000181-2022,01/11/22,02/22/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,600.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,-,Uso de internet/datos
PFC.H.A.2/000182-2022,01/11/22,01/24/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,2295.30,0.00,2295.3,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,-,Uso de internet/datos
PFC.H.A.2/000183-2022,01/11/22,02/01/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,6294.00,00,1326.86,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/000184-2022,01/11/22,02/01/22,Turnada a Concil Medios Elec.,Desistimiento,"CABLEMAS TELECOMUNICACIONES, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Deficiencia en la reparación,610.00,610.0,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000185-2022,01/11/22,01/25/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,200.00,0.00,200,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Por internet,Contado,Telefonia Movil
PFC.H.A.2/000186-2022,01/11/22,01/17/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Penalización por causa imputable al proveedor,1064.00,0,355,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/000187-2022,01/11/22,01/18/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Penalización por causa imputable al proveedor,39950.00,0,19204,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Telefonia Movil
PFC.H.A.2/000188-2022,01/11/22,02/01/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Penalización por causa imputable al proveedor,959.00,0,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/000189-2022,01/11/22,02/02/22,Turnada a Concil Medios Elec.,Conciliada,"CABLEMAS TELECOMUNICACIONES, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Negativa a corregir errores,695.00,00,695,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000190-2022,01/11/22,01/13/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,444.00,0.00,177,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/000191-2022,01/11/22,01/13/22,Turnada a Concil Medios Elec.,Conciliada,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,1309.00,0.00,654,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/000192-2022,01/11/22,02/01/22,Turnada a Concil Medios Elec.,Desistimiento,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,400.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Internet
PFC.H.A.2/000193-2022,01/11/22,01/17/22,Turnada a Concil Medios Elec.,Conciliada,"TELEFONIA POR CABLE, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,835.00,0.00,811,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000194-2022,01/11/22,02/01/22,Turnada a Concil Medios Elec.,Desistimiento,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,2251.03,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000195-2022,01/11/22,01/20/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,21600.00,0.00,8610.26,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Por teléfono,Contado,No problema especial
PFC.H.A.2/000196-2022,01/11/22,01/20/22,Turnada a Concil Medios Elec.,Conciliada,"AT&T COMUNICACIONES DIGITALES, S DE RL DE CV",AT&T,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,742.09,742.09,41.6,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000197-2022,01/11/22,02/01/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,774.88,00,5902.46,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,Uso de internet/datos
PFC.H.A.2/000198-2022,01/11/22,01/26/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,319.00,100.00,100,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/000199-2022,01/11/22,01/26/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,550.00,50.00,200,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/000200-2022,01/11/22,01/27/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,343.09,50.00,1393,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/000201-2022,01/11/22,01/28/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Modificación del precio convenido o presupuestado,979.00,0.00,979,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000202-2022,01/11/22,02/23/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Negativa a bonificación,501.39,0.00,501.39,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000203-2022,01/12/22,01/21/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,4174.00,0.00,2001.13,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Contado,Uso de internet/datos
PFC.H.A.2/000204-2022,01/12/22,02/17/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,810.00,100.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Plazos,No problema especial
PFC.H.A.2/000205-2022,01/12/22,01/27/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,10000.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Contado,No problema especial
PFC.H.A.2/000206-2022,01/12/22,02/15/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,399.00,00,598,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000207-2022,01/12/22,01/27/22,Turnada a Concil Medios Elec.,Conciliada,"PEGASO PCS, SA DE CV",MOVISTAR,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,620.00,0.00,399,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000208-2022,01/12/22,01/25/22,Turnada a Concil Medios Elec.,Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,4883.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,-,Uso de internet/datos
PFC.H.A.2/000209-2022,01/12/22,01/21/22,Turnada a Concil Medios Elec.,Conciliada,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Television por cable,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,609.00,00,290,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000210-2022,01/12/22,02/09/22,Turnada a Concil Medios Elec.,Desistimiento,"CABLEMAS TELECOMUNICACIONES, SA DE CV",IZZI,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Contratos,Negativa a la recisión,700.00,00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Plazos,No problema especial
PFC.H.A.2/000211-2022,01/12/22,03/09/22,Turnada a Concil Medios Elec.,No Conciliada,"TOTAL PLAY TELECOMUNICACIONES, SA DE CV",TOTALPLAY,Television por cable,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,629.00,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000212-2022,01/12/22,01/19/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Negativa a la entrega,250.00,0.00,250,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000213-2022,01/12/22,02/01/22,Turnada a Concil Medios Elec.,Conciliada,"SERVICIO Y EQUIPO EN TELEFONIA INTERNET Y TV, SA DE CV",MEGACABLE,Empresa de TV de paga (de TV restringida),TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Error de cálculo,345.00,590.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
PFC.H.A.2/000214-2022,01/12/22,02/08/22,Turnada a Concil Medios Elec.,Desistimiento,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Cobro indebido,Producto o servicio no solicitado o autorizado,5756.19,0.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,Imposición del proveedor,Contado,Uso de internet/datos
PFC.H.A.2/000215-2022,01/12/22,03/17/22,Turnada a Concil Medios Elec.,No Conciliada,"RADIOMOVIL DIPSA, SA DE CV",TELCEL,Empresa de telefonia celular,TELECOMUNICACIONES,DGPCT,Ciudad de México,Entrega del producto o servicio,Deficiencia en la reparación,398.99,2800.00,0,Conciliación medios electrónic,Servicio,Internet,Servicio normal,En establecimiento físico,Contado,No problema especial
